Rank,Name,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2007,Need for Speed: Most Wanted,2005,Racing,0.53,0.46,0,0.05,1.04
2008,Kirby: Mass Attack,2011,Platform,0.52,0.06,0.41,0.05,1.04
2009,LEGO Marvel Super Heroes,2013,Action,0.61,0.34,0,0.09,1.04
2010,ZhuZhu Pets,2010,Simulation,0.68,0.27,0,0.09,1.04
2011,Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,Shooter,0.34,0.48,0.02,0.19,1.04
2012,MotorStorm: Arctic Edge,2009,Racing,0.16,0.58,0,0.3,1.04
2013,WipEout Pure,2005,Racing,0.47,0.34,0,0.22,1.04
2014,EA Sports UFC,2014,Sports,0.46,0.4,0.01,0.17,1.04
2015,MX vs. ATV Unleashed,2005,Racing,0.86,0.03,0,0.14,1.03
2016,Sonic Unleashed,2008,Platform,0.56,0.33,0.01,0.14,1.03
2017,Tiger Woods PGA Tour 08,2007,Sports,0.94,0.02,0,0.08,1.03
2018,Rayman Origins,2011,Platform,0.33,0.51,0.01,0.18,1.03
2019,Epic Mickey 2: The Power of Two,2012,Action,0.72,0.23,0,0.08,1.03
2020,NCAA March Madness 2004,2003,Sports,0.5,0.39,0,0.13,1.03
2021,Donkey Kong Land III,2007,Platform,0.68,0.31,0,0.04,1.03
2022,Bomberman,1985,Puzzle,0.18,0,0.85,0,1.03
2023,The Simpsons Game,2007,Action,0.45,0.47,0,0.11,1.03
2024,Tomb Raider,1996,Action,0.96,0.07,0,0,1.03
2025,Rock Band 2,2008,Misc,0.94,0.01,0,0.08,1.03
2026,Street Fighter Alpha 3,1998,Fighting,0.38,0.12,0.51,0.02,1.03
2027,Bulletstorm,2011,Shooter,0.61,0.32,0.01,0.08,1.02
2028,FIFA Soccer 08,2007,Sports,0.32,0.59,0.01,0.11,1.02
2029,Naruto: Clash of Ninja Revolution,2007,Fighting,0.45,0.46,0,0.11,1.02
2030,Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,Shooter,0.87,0.05,0.02,0.08,1.02
2031,ZombiU,2012,Action,0.53,0.36,0.05,0.08,1.02
2032,Shrek 2,2004,Platform,0.73,0.26,0.01,0.03,1.02
2033,Petz: Catz 2,2007,Simulation,0.51,0.4,0,0.11,1.02
2034,Tales of Graces f,2010,Role-Playing,0.28,0.21,0.45,0.08,1.02
2035,Final Fight 2,1993,Action,0.39,0.12,0.49,0.02,1.02
2036,Wall-E,2008,Platform,0.51,0.4,0,0.11,1.02
2037,The Lost World: Jurassic Park,1997,Action,0.57,0.39,0,0.07,1.02
2038,Ace Combat 6: Fires of Liberation,2007,Simulation,0.69,0.04,0.22,0.06,1.02
2039,Madden NFL 07,2006,Sports,0.97,0.03,0,0.03,1.02
2040,Disney Infinity 2.0: Marvel Super Heroes,2014,Action,0.44,0.4,0,0.17,1.02
2041,Harry Potter and the Prisoner of Azkaban,2004,Action,0.5,0.39,0,0.13,1.02
2042,Pong: The Next Level,1998,Puzzle,0.56,0.38,0,0.07,1.01
2043,Bayonetta 2,2014,Action,0.34,0.28,0.1,0.3,1.01
2044,Prince of Persia,2008,Action,0.54,0.35,0.02,0.1,1.01
2045,God of War: Ghost of Sparta,2010,Action,0.41,0.36,0.03,0.21,1.01
2046,Sonic Generations,2011,Platform,0.44,0.46,0.01,0.09,1.01
2047,Ninja Gaiden II,2008,Action,0.65,0.22,0.05,0.1,1.01
2048,NBA Jam Tournament Edition,1995,Sports,0.87,0.12,0,0.02,1.01
2049,Championship Manager 3,2003,Sports,0,0.93,0,0.08,1.01
2050,Guitar Hero: Warriors of Rock,2010,Misc,0.48,0.44,0,0.09,1.01
2051,Oshare Majo Love and Berry: DS Collection,2006,Misc,0,0,1.01,0,1.01
2052,Monster Rancher,1997,Simulation,0.12,0.08,0.74,0.07,1.01
2053,The LEGO Movie Videogame,2014,Action,0.33,0.48,0.02,0.18,1.01
2054,DiRT 2,2009,Racing,0.27,0.53,0,0.2,1.01
2055,Rayman Legends,2014,Platform,0.21,0.61,0,0.18,1.01
2056,NERF N-Strike Elite,2009,Shooter,0.93,0,0,0.07,1
2057,Ford Racing 2,2003,Racing,0.49,0.38,0,0.13,1
2058,Breath of Fire III,1997,Role-Playing,0.29,0.19,0.46,0.07,1
2059,PES 2009: Pro Evolution Soccer,2008,Sports,0.13,0.76,0.03,0.09,1
2060,Dead or Alive 2,2000,Fighting,0.3,0.24,0.38,0.08,1
2061,1942,1985,Shooter,0.65,0.14,0.21,0,1
2062,Excitebike 64,2000,Racing,0.65,0.15,0.19,0.01,1
2063,NES Open Tournament Golf,1991,Sports,0.41,0.1,0.47,0.02,1
2064,Game & Watch Gallery,1997,Misc,0.63,0.25,0.09,0.03,1
2065,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,2004,Misc,0,0,1,0,1
2066,SoulCalibur II,2003,Fighting,0.78,0.18,0.03,0,1
2067,Haze,2008,Shooter,0.49,0.33,0.02,0.15,1
2068,UFC Undisputed 3,2012,Action,0.72,0.21,0,0.07,1
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),2006,Sports,0.08,0.9,0.02,0,1
2070,Road & Track Presents: The Need for Speed,1995,Racing,0.56,0.38,0,0.07,1
2071,NFL GameDay 2001,2000,Sports,0.56,0.38,0,0.07,1
2072,Killzone: Mercenary,2013,Shooter,0.25,0.49,0.04,0.22,1
2073,NBA Live 97,1996,Sports,0.55,0.38,0,0.07,1
2074,Dynasty Warriors 3: Xtreme Legends,2002,Action,0.13,0.1,0.74,0.03,1
2075,Zoo Tycoon DS,2005,Strategy,0.86,0.04,0.01,0.08,1
2076,Rocksmith 2014,2013,Misc,0.51,0.27,0.05,0.15,1
2077,Dead Space 3,2013,Action,0.44,0.38,0,0.17,1
2078,Wheel of Fortune,2010,Misc,0.89,0.04,0,0.06,1
2079,Disney Infinity,2013,Action,0.48,0.35,0,0.16,1
2080,Dark Souls,2011,Role-Playing,0.64,0.28,0,0.08,1
2081,Puzzler Collection,2008,Puzzle,0.17,0.78,0,0.04,1
2082,Jampack Winter 2000,2000,Misc,0.55,0.38,0,0.07,1
2083,Dead Space 3,2013,Action,0.64,0.28,0,0.08,0.99
2084,Phoenix Wright: Ace Attorney,2005,Adventure,0.49,0.07,0.39,0.05,0.99
2085,NFL Fever 2002,2000,Sports,0.74,0.21,0,0.04,0.99
2086,The Simpsons: Hit & Run,2003,Racing,0.77,0.2,0,0.03,0.99
2087,Littlest Pet Shop: Winter,2008,Simulation,0.59,0.31,0,0.1,0.99
2088,LEGO Harry Potter: Years 5-7,2007,Action,0.51,0.39,0,0.09,0.99
2089,Tom Clancy's Splinter Cell: Blacklist,2013,Action,0.57,0.34,0.01,0.08,0.99
2090,Ace Combat X: Skies of Deception,2006,Simulation,0.37,0.31,0.12,0.19,0.99
2091,NCAA Football 12,2011,Sports,0.94,0,0,0.06,0.99
2092,LEGO Pirates of the Caribbean: The Video Game,2011,Action,0.36,0.46,0,0.17,0.99
2093,Band Hero,2009,Misc,0.6,0.3,0,0.09,0.99
2094,Cars: Race-O-Rama,2009,Racing,0.61,0.3,0,0.09,0.99
2095,Oddworld: Abe's Exoddus,1998,Platform,0.55,0.38,0,0.06,0.99
2096,EyePet,2009,Simulation,0.35,0.52,0.04,0.09,0.99
2097,Scooby-Doo! First Frights,2009,Action,0.88,0.05,0,0.07,0.99
2098,Midnight Club: LA Remix,2008,Racing,0.52,0.28,0,0.19,0.99
2099,The Bouncer,2000,Action,0.3,0.23,0.38,0.08,0.99
2100,Guitar Hero: Aerosmith,2008,Misc,0.73,0.15,0,0.11,0.99
2101,WWE SmackDown vs Raw 2008,2007,Fighting,0.38,0.5,0,0.11,0.99
2102,FIFA Soccer 10,2009,Sports,0.23,0.65,0,0.11,0.99
2103,Shadow The Hedgehog,2005,Platform,0.76,0.2,0,0.03,0.99
2104,Farming Simulator 2013,2012,Simulation,0,0.8,0,0.18,0.99
2105,Fallout 3,2008,Role-Playing,0.02,0.88,0,0.08,0.99
2106,Cars,2006,Racing,0.85,0.05,0,0.08,0.98
2107,Pro Evolution Soccer 2008,2008,Sports,0.02,0.53,0.19,0.25,0.98
2108,Far Cry 3,2012,Shooter,0.21,0.62,0,0.14,0.98
2109,Xenoblade Chronicles,2010,Role-Playing,0.49,0.26,0.16,0.08,0.98
2110,Just Dance 2014,2013,Misc,0.72,0.19,0,0.07,0.98
2111,Mario Party Advance,2005,Misc,0.5,0.19,0.28,0.02,0.98
2112,Sonic & Sega All-Stars Racing,2010,Racing,0.36,0.46,0,0.17,0.98
2113,Tetris 2,1993,Puzzle,0.62,0.13,0.21,0.02,0.98
2114,NASCAR 99,1998,Racing,0.94,0.04,0,0.01,0.98
2115,Air-Sea Battle,2007,Shooter,0.91,0.06,0,0.01,0.98
2116,Suikoden III,2007,Role-Playing,0.29,0.23,0.38,0.08,0.98
2117,Kingdom Hearts Re:coded,2010,Role-Playing,0.56,0.1,0.27,0.05,0.98
2118,South Park: The Stick of Truth,2014,Role-Playing,0.42,0.38,0,0.17,0.98
2119,Driver: San Francisco,2011,Racing,0.24,0.54,0.01,0.18,0.98
2120,Sniper Elite V2,2012,Shooter,0.38,0.39,0.06,0.15,0.98
2121,Far Cry 4,2014,Shooter,0.45,0.44,0,0.08,0.98
2122,Grand Theft Auto: San Andreas,2005,Action,0,0.92,0,0.05,0.98
2123,Tom Clancy's Splinter Cell: Blacklist,2013,Action,0.34,0.41,0.06,0.18,0.98
2124,Pro Evolution Soccer 2014,2013,Action,0.03,0.43,0.51,0.01,0.98
2125,Madden NFL 16,2015,Sports,0.82,0.05,0,0.1,0.98
2126,Madden NFL 10,2009,Sports,0.88,0,0,0.1,0.98
2127,Brutal Legend,2009,Action,0.62,0.27,0,0.09,0.98
2128,Tamagotchi Connection: Corner Shop 2,2006,Simulation,0.09,0.02,0.86,0.01,0.98
2129,Final Fantasy Type-0,2015,Role-Playing,0.37,0.32,0.15,0.14,0.97
2130,Madden NFL 08,2007,Sports,0.89,0.01,0,0.08,0.97
2131,de Blob,2008,Platform,0.5,0.37,0,0.1,0.97
2132,NCAA Football 06,2005,Sports,0.73,0.21,0,0.03,0.97
2133,Mass Effect 3,2012,Role-Playing,0.4,0.44,0,0.13,0.97
2134,NBA 2K10,2009,Sports,0.88,0.02,0,0.08,0.97
2135,Fire Emblem,2003,Strategy,0.49,0.18,0.29,0.01,0.97
2136,Yakuza 4,2007,Action,0.15,0.14,0.63,0.05,0.97
2137,Skylanders: Spyro's Adventure,2011,Action,0.53,0.35,0,0.1,0.97
2138,Club Penguin: Game Day!,2010,Sports,0.56,0.33,0,0.08,0.97
2139,NHL 2004,2003,Sports,0.47,0.37,0,0.12,0.97
2140,Grand Theft Auto: Vice City Stories,2007,Action,0.78,0.03,0.03,0.13,0.97
2141,NBA 2K16,2015,Sports,0.77,0.1,0,0.1,0.97
2142,FIFA Soccer 2005,2004,Sports,0.33,0.6,0,0.04,0.97
2143,LEGO The Lord of the Rings,2012,Action,0.52,0.37,0,0.08,0.97
2144,Romancing SaGa,1992,Role-Playing,0,0,0.97,0,0.97
2145,Donkey Kong Junior,1981,Platform,0.9,0.05,0,0.01,0.97
2146,LEGO Star Wars II: The Original Trilogy,2006,Action,0.75,0.19,0,0.03,0.97
2147,LEGO Harry Potter: Years 5-7,2007,Action,0.36,0.45,0,0.16,0.97
2148,Final Fantasy X / X-2 HD Remaster,2013,Role-Playing,0.21,0.31,0.28,0.16,0.97
2149,Medal of Honor: Underground,2000,Shooter,0.54,0.37,0,0.06,0.97
2150,The Sims 2,2005,Simulation,0.82,0.07,0,0.07,0.96
2151,Dark Cloud 2,2002,Role-Playing,0.38,0.25,0.26,0.07,0.96
2152,Jampack Summer '99,1999,Misc,0.54,0.36,0,0.06,0.96
2153,PlayStation All-Stars Battle Royale,2012,Action,0.5,0.28,0.04,0.14,0.96
2154,Dance Dance Revolution 2nd ReMIX,1999,Simulation,0,0,0.9,0.06,0.96
2155,Monster High: Ghoul Spirit,2011,Misc,0.72,0.17,0,0.07,0.96
2156,Dragon Quest X,2012,Role-Playing,0,0,0.96,0,0.96
2157,LEGO Pirates of the Caribbean: The Video Game,2011,Action,0.37,0.49,0,0.1,0.96
2158,Gangs of London,2006,Adventure,0.3,0.44,0,0.22,0.96
2159,Mortal Kombat Trilogy,1996,Fighting,0.72,0.22,0,0.02,0.96
2160,Star Soldier,1986,Shooter,0.32,0.06,0.57,0.01,0.96
2161,Sonic Unleashed,2008,Platform,0.54,0.33,0,0.09,0.96
2162,Lost Planet 2,2010,Shooter,0.29,0.34,0.2,0.13,0.96
2163,NHL 2001,2000,Sports,0.47,0.37,0,0.12,0.96
2164,Dragon Quest Monsters: Terry's Wonderland 3D,2012,Role-Playing,0,0,0.96,0,0.96
2165,My Weight Loss Coach,2008,Sports,0.3,0.54,0,0.11,0.96
2166,Tom Clancy's Ghost Recon: Future Soldier,2012,Shooter,0.41,0.33,0.09,0.12,0.96
2167,Mega Man Star Force Dragon / Leo / Pegasus,2006,Action,0.39,0,0.53,0.03,0.96
2168,Shinobi,2002,Platform,0.36,0.28,0.22,0.09,0.96
2169,Mortal Kombat: Deadly Alliance,2002,Fighting,0.77,0.15,0,0.04,0.96
2170,The Witcher 2: Assassins of Kings,2011,Action,0.25,0.56,0,0.15,0.96
2171,PilotWings Resort,2011,Simulation,0.4,0.36,0.13,0.07,0.96
2172,Naruto Shippuden: Ultimate Ninja Storm 3,2013,Fighting,0.32,0.33,0.15,0.15,0.96
2173,LEGO Jurassic World,2015,Action,0.47,0.4,0,0.08,0.95
2174,ESPN NBA 2K5,2004,Sports,0.88,0.04,0,0.04,0.95
2175,Wheel of Fortune,2007,Misc,0.47,0.36,0,0.12,0.95
2176,World Championship Poker,2004,Misc,0.8,0.03,0,0.13,0.95
2177,Tom Clancy's Splinter Cell: Chaos Theory,2005,Action,0.36,0.45,0,0.14,0.95
2178,SpongeBob SquarePants: Battle for Bikini Bottom,2003,Platform,0.74,0.19,0,0.03,0.95
2179,South Park: The Stick of Truth,2014,Role-Playing,0.57,0.3,0,0.08,0.95
2180,Ben 10: Alien Force,2008,Action,0.65,0.22,0,0.09,0.95
2181,SingStar Abba,2008,Misc,0.27,0.51,0,0.17,0.95
2182,Cars 2,2011,Racing,0.46,0.39,0,0.1,0.95
2183,Wild ARMs,1996,Role-Playing,0.26,0.17,0.46,0.06,0.95
2184,Kessen,2000,Strategy,0.27,0.21,0.41,0.07,0.95
2185,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,2003,Misc,0.68,0.25,0,0.02,0.95
2186,NCAA Football 2000,1999,Sports,0.53,0.36,0,0.06,0.95
2187,Brutal Legend,2009,Action,0.54,0.28,0,0.13,0.95
2188,Skylanders: Spyro's Adventure,2011,Action,0.39,0.4,0,0.16,0.95
2189,Guitar Hero: Metallica,2009,Misc,0.41,0.43,0,0.1,0.95
2190,Evolve,2015,Shooter,0.35,0.41,0.05,0.15,0.95
2191,WWE SmackDown vs. Raw 2009,2008,Fighting,0.51,0.31,0.01,0.13,0.95
2192,Army of Two: The 40th Day,2010,Shooter,0.62,0.24,0,0.08,0.95
2193,Tony Hawk: RIDE,2009,Sports,0.7,0.17,0,0.08,0.95
2194,Lego Batman 3: Beyond Gotham,2014,Action,0.48,0.38,0,0.08,0.95
2195,Wii Play: Motion,2011,Misc,0.24,0.43,0.18,0.09,0.95
2196,Killzone,2004,Shooter,0.79,0.03,0,0.13,0.94
2197,The Tomb Raider Trilogy,2011,Action,0.27,0.5,0,0.17,0.94
2198,Colin McRae Rally 04,2003,Racing,0.01,0.71,0.01,0.21,0.94
2199,Star Fox 64 3D,2011,Shooter,0.48,0.27,0.13,0.07,0.94
2200,The SpongeBob SquarePants Movie,2004,Platform,0.73,0.19,0,0.03,0.94
2201,Rocksmith 2014,2013,Misc,0.69,0.17,0,0.08,0.94
2202,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,1996,Misc,0.52,0.36,0,0.06,0.94
2203,Cars,2006,Racing,0.83,0.04,0,0.07,0.94
2204,Assassin's Creed III,2012,Action,0.28,0.53,0,0.13,0.94
2205,Castlevania: Lament of Innocence,2003,Action,0.46,0.36,0,0.12,0.94
2206,Mario Tennis Open,2012,Sports,0.26,0.29,0.33,0.05,0.94
2207,The Witcher 2: Assassins of Kings,2012,Action,0.48,0.36,0.02,0.08,0.94
2208,Bayonetta,2009,Action,0.51,0.26,0.09,0.08,0.94
2209,Destroy All Humans!,2005,Shooter,0.78,0.03,0,0.13,0.94
2210,MVP Baseball 2005,2005,Sports,0.7,0.2,0,0.03,0.94
2211,SaGa Frontier 2,1999,Role-Playing,0.1,0.07,0.71,0.06,0.94
2212,NCAA Football 10,2009,Sports,0.87,0,0,0.07,0.94
2213,MLB 2000,1999,Sports,0.52,0.35,0,0.06,0.94
2214,The Legend of Zelda: Twilight Princess HD,2016,Action,0.48,0.3,0.08,0.08,0.94
2215,Bully,2006,Action,0.75,0.03,0.04,0.12,0.94
2216,Prince of Persia: The Sands of Time,2003,Action,0.57,0.33,0,0.04,0.94
2217,Phantasy Star Portable,2008,Role-Playing,0.19,0.06,0.63,0.05,0.94
2218,Hot Shots Golf Fore!,2003,Sports,0.46,0.36,0,0.12,0.94
2219,MLB 06: The Show,2006,Sports,0.78,0.03,0,0.13,0.94
2220,NHL 2003,2002,Sports,0.46,0.36,0,0.12,0.93
2221,Operation Flashpoint: Dragon Rising,2009,Shooter,0.36,0.45,0.02,0.1,0.93
2222,Nickelodeon Fit,2010,Sports,0.78,0.09,0,0.06,0.93
2223,Buzz! Quiz World,2009,Misc,0.16,0.58,0,0.2,0.93
2224,Bentley's Hackpack,2005,Misc,0.67,0.25,0,0.02,0.93
2225,Tony Hawk's Pro Skater 4,2002,Sports,0.59,0.3,0,0.04,0.93
2226,Borderlands 2,2012,Shooter,0.42,0.41,0,0.11,0.93
2227,EA Sports Grand Slam Tennis,2009,Sports,0.29,0.52,0.02,0.11,0.93
2228,White Knight Chronicles: International Edition,2008,Role-Playing,0.33,0.16,0.36,0.08,0.93
2229,SSX,2012,Sports,0.35,0.42,0.02,0.14,0.93
2230,Sonic Riders: Zero Gravity,2008,Racing,0.5,0.32,0.02,0.1,0.93
2231,LEGO Jurassic World,2015,Action,0.34,0.44,0,0.15,0.93
2232,Build-A-Bear Workshop,2007,Simulation,0.85,0.01,0,0.07,0.93
2233,Crash City Mayhem,2004,Racing,0.67,0.25,0,0.02,0.93
2234,Spider-Man,1981,Action,0.87,0.05,0,0.01,0.93
2235,Mega Man 4,1991,Platform,0.51,0.09,0.32,0.01,0.93
2236,Castlevania II: Simon's Quest,1987,Platform,0.45,0.06,0.42,0,0.93
2237,Toy Story 2: Buzz Lightyear to the Rescue!,1999,Platform,0.71,0.2,0,0.01,0.93
2238,Teenage Mutant Ninja Turtles,2003,Action,0.67,0.25,0,0.02,0.93
2239,MLB 07: The Show,2007,Sports,0.77,0.03,0,0.13,0.93
2240,Skylanders: Trap Team,2014,Action,0.54,0.31,0,0.08,0.93
2241,Cars,2006,Racing,0.72,0.19,0,0.03,0.93
2242,Brothers in Arms: Hell's Highway,2008,Shooter,0.44,0.34,0,0.15,0.93
2243,Inazuma Eleven 3,2010,Role-Playing,0,0,0.93,0,0.93
2244,Pokken Tournament,2016,Fighting,0.47,0.22,0.16,0.07,0.93
2245,SnoCross Championship Racing,1999,Racing,0.52,0.35,0,0.06,0.93
2246,Teenage Mutant Ninja Turtles,2003,Action,0.45,0.35,0,0.12,0.92
2247,Top Gun: Combat Zones,2001,Simulation,0.45,0.35,0,0.12,0.92
2248,Blue Dragon,2006,Role-Playing,0.3,0.33,0.21,0.08,0.92
2249,007: The World is not Enough,2000,Action,0.51,0.35,0,0.06,0.92
2250,NCAA Football 11,2010,Sports,0.86,0,0,0.06,0.92
2251,NHL 98,1997,Sports,0.51,0.35,0,0.06,0.92
2252,FIFA Street,2012,Sports,0.17,0.65,0,0.1,0.92
2253,EA Sports Active 2,2010,Sports,0.52,0.28,0,0.12,0.92
2254,SpongeBob SquarePants: The Yellow Avenger,2006,Action,0.55,0.21,0,0.16,0.92
2255,WWE SmackDown vs. Raw 2009,2008,Fighting,0.58,0.26,0,0.08,0.92
2256,Dante's Inferno,2010,Action,0.63,0.2,0.02,0.07,0.92
2257,Wipeout: In The Zone,2011,Misc,0.87,0,0,0.05,0.92
2258,Space Jam,1996,Sports,0.51,0.35,0,0.06,0.92
2259,Kung Fu Panda,2008,Action,0.5,0.32,0,0.09,0.92
2260,Knockout Kings 2000,1999,Fighting,0.63,0.27,0,0.02,0.92
2261,Balloon Fight,1985,Platform,0.39,0.09,0.43,0.01,0.92
2262,Assassin's Creed,2008,Adventure,0.01,0.83,0,0.08,0.92
2263,Disney Magical World,2013,Adventure,0.16,0.2,0.53,0.03,0.92
2264,Crysis 3,2013,Shooter,0.51,0.33,0.01,0.08,0.92
2265,Lego Batman 3: Beyond Gotham,2014,Action,0.37,0.39,0,0.15,0.92
2266,Dynasty Warriors 7,2011,Action,0.25,0.14,0.46,0.06,0.92
2267,The Evil Within,2014,Action,0.26,0.39,0.12,0.14,0.92
2268,MLB 12: The Show,2012,Sports,0.86,0,0,0.06,0.92
2269,Sonic Riders,2006,Racing,0.71,0.18,0,0.03,0.92
2270,Starsky & Hutch,2003,Racing,0.45,0.35,0,0.12,0.92
2271,Tobal No.1,1996,Fighting,0.12,0.08,0.66,0.06,0.92
2272,Lost Odyssey,2007,Role-Playing,0.45,0.27,0.11,0.09,0.92
2273,MLB 15: The Show,2015,Sports,0.67,0.08,0,0.17,0.92
2274,Operation Flashpoint: Dragon Rising,2009,Shooter,0.23,0.46,0.05,0.17,0.92
2275,Homefront,2011,Shooter,0.32,0.4,0.04,0.15,0.91
2276,AMF Bowling Pinbusters!,2007,Sports,0.85,0,0,0.07,0.91
2277,Street Hoops,2002,Sports,0.45,0.35,0,0.12,0.91
2278,Avatar: The Game,2009,Action,0.32,0.43,0,0.16,0.91
2279,Harvest Moon 3D: A New Beginning,2012,Action,0.41,0.17,0.29,0.05,0.91
2280,Tom Clancy's EndWar,2008,Strategy,0.58,0.24,0.01,0.09,0.91
2281,Knockout Kings 2002,2002,Sports,0.45,0.35,0,0.12,0.91
2282,Tokyo Xtreme Racer 3,2003,Racing,0.35,0.27,0.21,0.09,0.91
2283,LEGO Indiana Jones 2: The Adventure Continues,2009,Action,0.47,0.3,0,0.13,0.91
2284,Colin McRae Rally 2.0,2000,Racing,0.02,0.8,0.02,0.07,0.91
2285,Glover,1998,Platform,0.72,0.17,0,0.01,0.91
2286,MX vs. ATV Reflex,2009,Racing,0.52,0.26,0,0.12,0.91
2287,Minecraft: Story Mode,2015,Adventure,0.46,0.38,0,0.08,0.91
2288,Namco Museum,2007,Misc,0.77,0.11,0,0.04,0.91
2289,Marvel: Ultimate Alliance 2,2009,Role-Playing,0.68,0.15,0,0.08,0.91
2290,Call of Duty: World at War,2008,Shooter,0.57,0.26,0,0.08,0.91
2291,Super Momotarou Dentetsu III,1994,Simulation,0,0,0.91,0,0.91
2292,Sonic Mega Collection Plus,2004,Misc,0.61,0.26,0,0.04,0.91
2293,DJ Hero,2009,Misc,0.42,0.34,0,0.14,0.91
2294,Dragon Age: Inquisition,2014,Role-Playing,0.55,0.28,0,0.07,0.91
2295,The Simpsons Game,2007,Action,0.38,0.37,0,0.15,0.91
2296,Tiger Woods PGA Tour 2002,2002,Sports,0.44,0.35,0,0.12,0.9
2297,Rhythm Heaven,2007,Misc,0.13,0,0.77,0.01,0.9
2298,Mini-Yonku Shining Scorpion: Let's & Go!!,1996,Racing,0,0,0.9,0,0.9
2299,MLB 2005,2004,Sports,0.44,0.35,0,0.12,0.9
2300,SOCOM 4: U.S. Navy SEALs,2011,Shooter,0.66,0.12,0.04,0.08,0.9
2301,Burnout Revenge,2005,Racing,0.75,0.03,0,0.12,0.9
2302,Buzz! Quiz TV,2008,Misc,0.28,0.48,0,0.14,0.9
2303,We Ski & Snowboard,2008,Sports,0.38,0.29,0.15,0.08,0.9
2304,Destruction Derby,1995,Racing,0.5,0.34,0,0.06,0.9
2305,TouchMaster 2,2008,Puzzle,0.3,0.49,0,0.1,0.9
2306,Crysis 3,2013,Shooter,0.26,0.43,0.03,0.18,0.9
2307,3Xtreme,1999,Action,0.5,0.34,0,0.06,0.9
2308,Hot Shots Tennis,2006,Sports,0.17,0.13,0.55,0.05,0.9
2309,Sonic Heroes,2003,Platform,0.41,0.43,0.01,0.05,0.9
2310,Resistance: Retribution,2009,Shooter,0.27,0.36,0.05,0.22,0.9
2311,Tiger Woods PGA Tour 12: The Masters,2011,Sports,0.52,0.26,0,0.12,0.9
2312,Star Wars: The Force Unleashed,2008,Action,0.51,0.29,0,0.09,0.9
2313,Madden NFL 99,1998,Sports,0.84,0.05,0,0.01,0.9
2314,Spider-Man 3,2007,Platform,0.74,0.03,0.01,0.12,0.9
2315,James Bond 007: Agent Under Fire,2002,Shooter,0.65,0.22,0,0.03,0.9
2316,Samba De Amigo,2008,Misc,0.42,0.37,0.01,0.1,0.9
2317,The Elder Scrolls Online,2014,Role-Playing,0.32,0.48,0,0.09,0.9
2318,Pure,2008,Racing,0.42,0.33,0,0.14,0.9
2319,FIFA Soccer 09 All-Play,2008,Sports,0.29,0.52,0,0.09,0.9
2320,Fossil Fighters,2008,Role-Playing,0.84,0,0,0.06,0.9
2321,LittleBigPlanet Karting,2012,Action,0.42,0.32,0.01,0.15,0.9
2322,X-Men Legends,2004,Role-Playing,0.62,0.24,0,0.04,0.9
2323,NBA Live 2005,2004,Sports,0.81,0.05,0,0.04,0.9
2324,Harry Potter: Quidditch World Cup,2003,Sports,0.44,0.34,0,0.11,0.9
2325,The Biggest Loser: Ultimate Workout,2010,Sports,0.73,0.1,0,0.06,0.9
2326,Madagascar,2005,Platform,0.62,0.24,0,0.03,0.89
2327,Call of Juarez: Bound in Blood,2009,Shooter,0.35,0.38,0.01,0.16,0.89
2328,Killzone: Liberation,2006,Shooter,0.44,0.28,0,0.18,0.89
2329,Madden NFL 08,2007,Sports,0.82,0.01,0,0.07,0.89
2330,Blitz: The League,2005,Sports,0.74,0.03,0,0.12,0.89
2331,LEGO Jurassic World,2015,Action,0.32,0.42,0.01,0.14,0.89
2332,Castlevania: Circle of the Moon,2001,Platform,0.6,0.22,0.05,0.02,0.89
2333,Sonic Chronicles: The Dark Brotherhood,2008,Role-Playing,0.51,0.29,0.01,0.09,0.89
2334,Tiger Woods PGA Tour 06,2005,Sports,0.74,0.03,0,0.12,0.89
2335,Classic NES Series: The Legend of Zelda,2004,Adventure,0.46,0.17,0.24,0.02,0.89
2336,The Jak and Daxter Collection,2012,Platform,0.6,0.19,0,0.1,0.89
2337,Fire Emblem: The Sacred Stones,2004,Strategy,0.42,0.16,0.3,0.02,0.89
2338,Pokemon Card GB2: Here Comes Team GR!,2001,Strategy,0,0,0.89,0,0.89
2339,Finding Nemo,2003,Action,0.69,0.18,0,0.02,0.89
2340,CSI: Hard Evidence,2008,Adventure,0.36,0.43,0,0.1,0.89
2341,Ace Combat 2,1997,Simulation,0.16,0.11,0.56,0.06,0.89
2342,F1 2009,2009,Racing,0.15,0.63,0,0.11,0.89
2343,NFL 2K2,2001,Sports,0.44,0.34,0,0.11,0.89
2344,EA Sports UFC 2,2016,Sports,0.28,0.47,0,0.14,0.89
2345,Dissidia 012: Duodecim Final Fantasy,2011,Fighting,0.21,0.13,0.46,0.08,0.89
2346,LEGO Marvel Super Heroes,2013,Action,0.42,0.36,0.04,0.07,0.89
2347,F1 2010,2010,Racing,0.18,0.59,0.01,0.1,0.89
2348,Monster 4X4: World Circuit,2006,Racing,0.81,0,0.01,0.07,0.89
